Gene,Tissue,ASIF,Expression
ENSG00000004848,adipose tissue,0.04742587317756679,0.0160744
ENSG00000005073,adipose tissue,0.04742587317756679,0.7335662000000001
ENSG00000005102,adipose tissue,0.047878505623348756,24.1722636
ENSG00000005513,adipose tissue,0.04742587317756679,1.0584162
ENSG00000005801,adipose tissue,0.06020489021726962,10.933514200000001
ENSG00000005889,adipose tissue,0.6516292908052921,16.468352199999998
ENSG00000006194,adipose tissue,0.9525741268224331,10.539517599999998
ENSG00000006377,adipose tissue,0.047350379565070065,0.38846060000000004
ENSG00000006468,adipose tissue,0.32127851435349425,6.6997506
ENSG00000007372,adipose tissue,0.07698425470282672,0.13926080000000002
ENSG00000007968,adipose tissue,0.04742587317756679,0.2537876
ENSG00000008083,adipose tissue,0.04742587317756679,8.3085348
ENSG00000009709,adipose tissue,0.0,0.0
ENSG00000009950,adipose tissue,0.3508552367280819,99.19946340000001
ENSG00000010030,adipose tissue,0.45408215757029186,0.9430675999999999
ENSG00000010539,adipose tissue,0.04742587317756679,5.048833
ENSG00000010818,adipose tissue,0.0869221266265125,10.4280778
ENSG00000011451,adipose tissue,0.052074514594805076,18.5686968
ENSG00000011590,adipose tissue,0.009224582330096544,0.7331118
ENSG00000012504,adipose tissue,0.02014523499531704,0.22645160000000003
ENSG00000012817,adipose tissue,0.3561361089974455,0.29477519999999996
ENSG00000016082,adipose tissue,0.04742587317756679,0.292221
ENSG00000018869,adipose tissue,0.7685534132780679,2.7476074
ENSG00000019549,adipose tissue,0.04742587317756679,24.813806
ENSG00000020256,adipose tissue,0.9525741268224331,4.5865632000000005
ENSG00000020633,adipose tissue,0.04742587317756679,3.6888762
ENSG00000025156,adipose tissue,0.25085339765167103,7.1745894
ENSG00000028277,adipose tissue,0.37197981839459876,3.2929086
ENSG00000032219,adipose tissue,0.06522267128299511,12.8011324
ENSG00000037965,adipose tissue,0.04742587317756679,5.444984
ENSG00000039600,adipose tissue,0.04742587317756679,0.0696118
ENSG00000043039,adipose tissue,0.04742587317756679,0.1640246
ENSG00000043355,adipose tissue,0.028325473959463866,0.0854846
ENSG00000048405,adipose tissue,0.09283583968898287,14.477741400000001
ENSG00000049618,adipose tissue,0.19509242832291185,22.0734544
ENSG00000049768,adipose tissue,0.2216175480625578,0.21812160000000003
