source,target,coverage
ENSG00000005073,ENSG00000143995,0.464
ENSG00000005073,ENSG00000143995,0.464
ENSG00000037965,ENSG00000185630,0.462
ENSG00000037965,ENSG00000185630,0.462
ENSG00000037965,ENSG00000170365,0.496
ENSG00000037965,ENSG00000170365,0.496
ENSG00000050344,ENSG00000123405,0.458
ENSG00000050344,ENSG00000123405,0.458
ENSG00000050344,ENSG00000185022,0.7
ENSG00000050344,ENSG00000185022,0.7
ENSG00000050344,ENSG00000198517,0.501
ENSG00000050344,ENSG00000198517,0.501
ENSG00000050344,ENSG00000197063,0.69
ENSG00000050344,ENSG00000197063,0.69
ENSG00000060566,ENSG00000107175,0.458
ENSG00000060566,ENSG00000107175,0.458
ENSG00000060566,ENSG00000157613,0.476
ENSG00000060566,ENSG00000157613,0.476
ENSG00000070444,ENSG00000108788,0.5
ENSG00000070444,ENSG00000108788,0.5
ENSG00000092067,ENSG00000162772,0.516
ENSG00000092067,ENSG00000162772,0.516
ENSG00000092067,ENSG00000123685,0.485
ENSG00000092067,ENSG00000123685,0.485
ENSG00000092067,ENSG00000153879,0.489
ENSG00000092067,ENSG00000153879,0.489
ENSG00000092067,ENSG00000128272,0.599
ENSG00000092067,ENSG00000128272,0.599
ENSG00000099326,ENSG00000152467,0.492
ENSG00000099326,ENSG00000152467,0.492
ENSG00000100219,ENSG00000137504,0.458
ENSG00000100219,ENSG00000137504,0.458
ENSG00000101057,ENSG00000112242,0.608
ENSG00000101057,ENSG00000112242,0.608
ENSG00000101057,ENSG00000205250,0.47
ENSG00000101057,ENSG00000205250,0.47
ENSG00000101115,ENSG00000181449,0.73
ENSG00000101115,ENSG00000181449,0.73
ENSG00000101115,ENSG00000204531,0.795
ENSG00000101115,ENSG00000204531,0.795
ENSG00000101115,ENSG00000111704,0.968
ENSG00000101115,ENSG00000111704,0.968
ENSG00000006194,ENSG00000186812,0.602
ENSG00000006194,ENSG00000186812,0.602
ENSG00000103199,ENSG00000186812,0.415
ENSG00000103199,ENSG00000186812,0.415
ENSG00000174197,ENSG00000126012,0.682
ENSG00000174197,ENSG00000126012,0.682
ENSG00000174197,ENSG00000198176,0.695
ENSG00000174197,ENSG00000198176,0.695
ENSG00000174197,ENSG00000169016,0.881
ENSG00000174197,ENSG00000169016,0.881
ENSG00000105392,ENSG00000124827,0.464
ENSG00000105392,ENSG00000124827,0.464
ENSG00000105392,ENSG00000173976,0.955
ENSG00000105392,ENSG00000173976,0.955
ENSG00000105392,ENSG00000278570,0.506
ENSG00000105392,ENSG00000278570,0.506
ENSG00000105392,ENSG00000129535,0.491
ENSG00000105392,ENSG00000129535,0.491
ENSG00000105516,ENSG00000167074,0.464
ENSG00000105516,ENSG00000167074,0.464
ENSG00000105516,ENSG00000134852,0.736
ENSG00000105516,ENSG00000134852,0.736
ENSG00000105698,ENSG00000170345,0.423
ENSG00000105698,ENSG00000170345,0.423
ENSG00000105698,ENSG00000158773,0.885
ENSG00000105698,ENSG00000158773,0.885
ENSG00000105866,ENSG00000095951,0.66
ENSG00000105866,ENSG00000095951,0.66
ENSG00000105996,ENSG00000128710,0.529
ENSG00000105996,ENSG00000128710,0.529
ENSG00000105996,ENSG00000106004,0.697
ENSG00000105996,ENSG00000106004,0.697
ENSG00000106004,ENSG00000128710,0.529
ENSG00000106004,ENSG00000128710,0.529
ENSG00000106004,ENSG00000125798,0.519
ENSG00000106004,ENSG00000125798,0.519
ENSG00000106004,ENSG00000173917,0.697
ENSG00000106004,ENSG00000173917,0.697
ENSG00000106004,ENSG00000170166,0.8
ENSG00000106004,ENSG00000170166,0.8
ENSG00000106004,ENSG00000172789,0.8
ENSG00000106004,ENSG00000172789,0.8
ENSG00000106004,ENSG00000197757,0.8
ENSG00000106004,ENSG00000197757,0.8
ENSG00000106004,ENSG00000108511,0.8
ENSG00000106004,ENSG00000108511,0.8
ENSG00000106004,ENSG00000260027,0.822
ENSG00000106004,ENSG00000260027,0.822
ENSG00000106004,ENSG00000143995,0.435
ENSG00000106004,ENSG00000143995,0.435
ENSG00000106004,ENSG00000182742,0.811
ENSG00000106004,ENSG00000182742,0.811
ENSG00000106004,ENSG00000198353,0.811
ENSG00000106004,ENSG00000198353,0.811
ENSG00000106004,ENSG00000122592,0.8
ENSG00000106004,ENSG00000122592,0.8
ENSG00000106004,ENSG00000106006,0.8
ENSG00000106004,ENSG00000106006,0.8
ENSG00000106004,ENSG00000120075,0.8
ENSG00000106004,ENSG00000120075,0.8
ENSG00000106004,ENSG00000167081,0.758
ENSG00000106004,ENSG00000167081,0.758
ENSG00000106004,ENSG00000204304,0.81
ENSG00000106004,ENSG00000204304,0.81
ENSG00000106004,ENSG00000185630,0.801
ENSG00000106004,ENSG00000185630,0.801
ENSG00000106006,ENSG00000197757,0.8
ENSG00000106006,ENSG00000197757,0.8
ENSG00000106006,ENSG00000260027,0.8
ENSG00000106006,ENSG00000260027,0.8
ENSG00000106006,ENSG00000108511,0.8
ENSG00000106006,ENSG00000108511,0.8
ENSG00000106006,ENSG00000172789,0.8
ENSG00000106006,ENSG00000172789,0.8
ENSG00000106006,ENSG00000170166,0.8
ENSG00000106006,ENSG00000170166,0.8
ENSG00000106006,ENSG00000198353,0.8
ENSG00000106006,ENSG00000198353,0.8
ENSG00000106006,ENSG00000182742,0.8
ENSG00000106006,ENSG00000182742,0.8
