Gene ID,Gene Name,Tissue,ASIF,Expression
ENSG00000004848,ARX,adipose tissue,0.0474258731775668,0.0160744
ENSG00000005073,HOXA11,adipose tissue,0.0474258731775668,0.7335662
ENSG00000005102,MEOX1,adipose tissue,0.0478785056233488,24.1722636
ENSG00000005513,SOX8,adipose tissue,0.0474258731775668,1.0584162
ENSG00000005801,ZNF195,adipose tissue,0.0602048902172696,10.9335142
ENSG00000005889,ZFX,adipose tissue,0.651629290805292,16.4683522
ENSG00000006194,ZNF263,adipose tissue,0.952574126822433,10.5395176
ENSG00000006377,DLX6,adipose tissue,0.0473503795650701,0.3884606
ENSG00000006468,ETV1,adipose tissue,0.321278514353494,6.6997506
ENSG00000007372,PAX6,adipose tissue,0.0769842547028267,0.1392608
ENSG00000007968,E2F2,adipose tissue,0.0474258731775668,0.2537876
ENSG00000008083,JARID2,adipose tissue,0.0474258731775668,8.3085348
ENSG00000009709,PAX7,adipose tissue,0,0
ENSG00000009950,MLXIPL,adipose tissue,0.350855236728082,99.1994634
ENSG00000010030,ETV7,adipose tissue,0.454082157570292,0.9430676
ENSG00000010539,ZNF200,adipose tissue,0.0474258731775668,5.048833
ENSG00000010818,HIVEP2,adipose tissue,0.0869221266265125,10.4280778
ENSG00000011451,WIZ,adipose tissue,0.0520745145948051,18.5686968
ENSG00000011590,ZBTB32,adipose tissue,0.00922458233009654,0.7331118
ENSG00000012504,NR1H4,adipose tissue,0.020145234995317,0.2264516
ENSG00000012817,KDM5D,adipose tissue,0.356136108997446,0.2947752
ENSG00000016082,ISL1,adipose tissue,0.0474258731775668,0.292221
ENSG00000018869,ZNF582,adipose tissue,0.768553413278068,2.7476074
ENSG00000019549,SNAI2,adipose tissue,0.0474258731775668,24.813806
ENSG00000020256,ZFP64,adipose tissue,0.952574126822433,4.5865632
ENSG00000020633,RUNX3,adipose tissue,0.0474258731775668,3.6888762
ENSG00000025156,HSF2,adipose tissue,0.250853397651671,7.1745894
ENSG00000028277,POU2F2,adipose tissue,0.371979818394599,3.2929086
ENSG00000032219,ARID4A,adipose tissue,0.0652226712829951,12.8011324
ENSG00000037965,HOXC8,adipose tissue,0.0474258731775668,5.444984
ENSG00000039600,SOX30,adipose tissue,0.0474258731775668,0.0696118
ENSG00000043039,BARX2,adipose tissue,0.0474258731775668,0.1640246
ENSG00000043355,ZIC2,adipose tissue,0.0283254739594639,0.0854846
ENSG00000048405,ZNF800,adipose tissue,0.0928358396889829,14.4777414
ENSG00000049618,ARID1B,adipose tissue,0.195092428322912,22.0734544
ENSG00000049768,FOXP3,adipose tissue,0.221617548062558,0.2181216
ENSG00000050344,NFE2L3,adipose tissue,0.322190110960087,6.3384868
ENSG00000052850,ALX4,adipose tissue,0.0474258731775668,0.5021306
ENSG00000053254,FOXN3,adipose tissue,0.0474258731775668,51.824248
ENSG00000054267,ARID4B,adipose tissue,0.0474258731775668,18.1478666
ENSG00000054598,FOXC1,adipose tissue,0.0474258731775668,8.245096
ENSG00000056277,ZNF280C,adipose tissue,0.0474258731775668,1.3790402
ENSG00000057657,PRDM1,adipose tissue,0.0623314091803351,8.4747232
ENSG00000057935,MTA3,adipose tissue,0.0313639274157581,16.318018
ENSG00000060566,CREB3L3,adipose tissue,0.0474258731775668,0.0949524
ENSG00000061455,PRDM6,adipose tissue,0.0474258731775668,1.2046376
ENSG00000062370,ZNF112,adipose tissue,0.0474258731775668,1.6532036
ENSG00000063438,AHRR,adipose tissue,0.187950158595717,0.3860828
ENSG00000063515,GSC2,adipose tissue,0,0
ENSG00000064195,DLX3,adipose tissue,0.0474258731775668,0.1084448
ENSG00000064218,DMRT3,adipose tissue,0.0474258731775668,1.1579782
ENSG00000064835,POU1F1,adipose tissue,0.864156288569333,0.061847
ENSG00000064961,HMG20B,adipose tissue,0.0474258731775668,38.0798616
ENSG00000065029,ZNF76,adipose tissue,0.11672857399606,20.7809022
ENSG00000065970,FOXJ2,adipose tissue,0.0474258731775668,11.4837694
ENSG00000066336,SPI1,adipose tissue,0.144884221010926,40.2533756
ENSG00000066422,ZBTB11,adipose tissue,0.0342873915724026,9.9851744
ENSG00000066827,ZFAT,adipose tissue,0.121469009751698,5.5185166
ENSG00000067066,SP100,adipose tissue,0.952574126822433,58.283342
ENSG00000069011,PITX1,adipose tissue,0.0496688576099599,0.381577
ENSG00000069667,RORA,adipose tissue,0.206346580121785,7.519718
ENSG00000069812,HES2,adipose tissue,0.382078644692018,0.0548742
ENSG00000070444,MNT,adipose tissue,0.29793663012107,14.1447028
ENSG00000070476,ZXDC,adipose tissue,0.0474258731775668,11.0314598
ENSG00000072736,NFATC3,adipose tissue,0.0474258731775668,13.372851
ENSG00000073282,TP63,adipose tissue,0.0828613898914153,0.393699
ENSG00000073584,SMARCE1,adipose tissue,0.150989390900711,72.3002218
ENSG00000073614,KDM5A,adipose tissue,0.121511124877928,13.3640568
ENSG00000073861,TBX21,adipose tissue,0.0474258731775668,0.6495364
ENSG00000075426,FOSL2,adipose tissue,0.0404307168365791,100.9680514
ENSG00000075891,PAX2,adipose tissue,0.0159427235150457,0.0395162
ENSG00000077092,RARB,adipose tissue,0.0474258731775668,4.7191202
ENSG00000077150,NFKB2,adipose tissue,0.0260109253952222,42.0761922
ENSG00000078399,HOXA9,adipose tissue,0.605703777347752,6.502037
ENSG00000078900,TP73,adipose tissue,0.0474258731775668,0.0752724
ENSG00000080298,RFX3,adipose tissue,0.0638926743045382,1.7564542
ENSG00000081189,MEF2C,adipose tissue,0.952574126822433,40.2212992
ENSG00000081386,ZNF510,adipose tissue,0.0474258731775668,4.4784362
ENSG00000081665,ZNF506,adipose tissue,0.458570797877565,13.6320416
ENSG00000082175,PGR,adipose tissue,0.0474258731775668,1.072865
ENSG00000082641,NFE2L1,adipose tissue,0.306295858384732,173.800558
ENSG00000083168,KAT6A,adipose tissue,0.0474258731775668,16.6154144
ENSG00000083812,ZNF324,adipose tissue,0.0474258731775668,3.0831486
ENSG00000083828,ZNF586,adipose tissue,0.952574126822433,5.64352
ENSG00000083838,ZNF446,adipose tissue,0.0474258731775668,4.1364984
ENSG00000083844,ZNF264,adipose tissue,0.517521102792591,6.6548192
ENSG00000084093,REST,adipose tissue,0.345046547590947,8.0133298
ENSG00000084676,NCOA1,adipose tissue,0.171825665560251,19.9388322
ENSG00000085274,MYNN,adipose tissue,0.0474258731775668,11.3233462
ENSG00000085276,MECOM,adipose tissue,0.278748870442915,13.9340934
ENSG00000087903,RFX2,adipose tissue,0.137999894899825,10.8551638
ENSG00000088876,ZNF343,adipose tissue,0.250092152327208,7.934616
ENSG00000089116,LHX5,adipose tissue,0,0
ENSG00000089225,TBX5,adipose tissue,0.0474258731775668,3.4280414
ENSG00000089335,ZNF302,adipose tissue,0.388031518035865,19.374882
ENSG00000089902,RCOR1,adipose tissue,0.0474258731775668,14.273104
ENSG00000090447,TFAP4,adipose tissue,0.0474258731775668,3.9542924
ENSG00000091010,POU4F3,adipose tissue,0.0474258731775668,0.0222244
ENSG00000091656,ZFHX4,adipose tissue,0.0474258731775668,2.1388548
ENSG00000091831,ESR1,adipose tissue,0.952574126822433,5.178325
ENSG00000092067,CEBPE,adipose tissue,0.0366132740221623,0.1447782
ENSG00000092607,TBX15,adipose tissue,0.318620281636154,15.837516
ENSG00000095574,IKZF5,adipose tissue,0.0474258731775668,14.791208
ENSG00000095794,CREM,adipose tissue,0.952574126822433,63.2886906
ENSG00000095951,HIVEP1,adipose tissue,0.212098153731881,9.332154
ENSG00000096401,CDC5L,adipose tissue,0.0474258731775668,12.261992
ENSG00000099326,MZF1,adipose tissue,0.432293262559779,11.5171364
ENSG00000100105,PATZ1,adipose tissue,0.952574126822433,9.7863622
ENSG00000100146,SOX10,adipose tissue,0.0474258731775668,2.2652798
ENSG00000100219,XBP1,adipose tissue,0.0474258731775668,122.996409
ENSG00000100426,ZBED4,adipose tissue,0.0474258731775668,3.557468
ENSG00000100625,SIX4,adipose tissue,0.0474258731775668,0.4458458
ENSG00000100644,HIF1A,adipose tissue,0.0474258731775668,83.7078214
ENSG00000100811,YY1,adipose tissue,0.0474258731775668,38.5196478
ENSG00000100968,NFATC4,adipose tissue,0.952574126822433,17.3210602
ENSG00000100987,VSX1,adipose tissue,0.0474258731775668,0.0658356
ENSG00000101057,MYBL2,adipose tissue,0.0474258731775668,1.8553732
ENSG00000101076,HNF4A,adipose tissue,0.0474258731775668,0.370613
ENSG00000101096,NFATC2,adipose tissue,0.0474258731775668,8.7371916
ENSG00000101115,SALL4,adipose tissue,0.0474258731775668,0.1944786
ENSG00000101126,ADNP,adipose tissue,0.0474258731775668,22.7102208
ENSG00000101412,E2F1,adipose tissue,0.0474258731775668,2.018614
ENSG00000101493,ZNF516,adipose tissue,0.150180010227138,5.1169632
ENSG00000101544,ADNP2,adipose tissue,0.0474258731775668,8.4861452
ENSG00000101665,SMAD7,adipose tissue,0.0934234327152314,25.3905906
ENSG00000102034,ELF4,adipose tissue,0.0474258731775668,9.6700398
ENSG00000102554,KLF5,adipose tissue,0.0474258731775668,4.5655128
ENSG00000102908,NFAT5,adipose tissue,0.018568470449255,8.108461
ENSG00000102935,ZNF423,adipose tissue,0.541233348847624,9.8293942
ENSG00000102974,CTCF,adipose tissue,0.0541247851427526,18.3568726
ENSG00000103199,ZNF500,adipose tissue,0.155501156478393,5.4889264
ENSG00000103241,FOXF1,adipose tissue,0.0474258731775668,3.0864996
ENSG00000103449,SALL1,adipose tissue,0.0698901988573225,0.1397926
ENSG00000103460,TOX3,adipose tissue,0.0688052809597493,0.3083902
ENSG00000103495,MAZ,adipose tissue,0.694601637156049,69.8077508
ENSG00000104447,TRPS1,adipose tissue,0.120036149678264,4.5963726
ENSG00000104903,LYL1,adipose tissue,0.0926461614175354,6.0918546
ENSG00000105136,ZNF419,adipose tissue,0.691115272945384,5.0795996
ENSG00000105261,OVOL3,adipose tissue,0,0
ENSG00000105392,CRX,adipose tissue,0,0.1201594
ENSG00000105419,MEIS3,adipose tissue,0.0221891953813821,12.311195
ENSG00000105497,ZNF175,adipose tissue,0.646199362447232,5.2270288
ENSG00000105516,DBP,adipose tissue,0.251552563096743,10.7694766
ENSG00000105610,KLF1,adipose tissue,0.0474258731775668,0.0121326
ENSG00000105672,ETV2,adipose tissue,0.794610058596843,0.6839168
ENSG00000105698,USF2,adipose tissue,0.171165556887108,138.7751578
ENSG00000105708,ZNF14,adipose tissue,0.0474258731775668,2.879934
ENSG00000105717,PBX4,adipose tissue,0.0112341518353562,1.3161264
ENSG00000105722,ERF,adipose tissue,0.246105022963596,46.2336888
ENSG00000105732,ZNF574,adipose tissue,0.0474258731775668,5.7270544
ENSG00000105750,ZNF85,adipose tissue,0.679193954410931,2.0830364
ENSG00000105856,HBP1,adipose tissue,0.10871073274708,31.2998142
ENSG00000105866,SP4,adipose tissue,0.0474258731775668,2.3605016
ENSG00000105880,DLX5,adipose tissue,0.141830983945231,0.5636192
ENSG00000105967,TFEC,adipose tissue,0.704947025058155,3.9440318
ENSG00000105991,HOXA1,adipose tissue,0.952574126822433,0.6962032
ENSG00000105996,HOXA2,adipose tissue,0.0474258731775668,1.2972016
ENSG00000106004,HOXA5,adipose tissue,0.0474258731775668,15.619074
ENSG00000106006,HOXA6,adipose tissue,0.0474258731775668,5.1025876
ENSG00000106031,HOXA13,adipose tissue,0.0474258731775668,0.374343
ENSG00000106261,ZKSCAN1,adipose tissue,0.0523922877453628,13.7153346
ENSG00000106331,PAX4,adipose tissue,0,0
