source,target,coverage
ENSG00000005102,ENSG00000037965,1
ENSG00000037965,ENSG00000005102,1
ENSG00000005102,ENSG00000108788,1
ENSG00000108788,ENSG00000005102,1
ENSG00000005102,ENSG00000119725,1
ENSG00000119725,ENSG00000005102,1
ENSG00000005102,ENSG00000166211,1
ENSG00000166211,ENSG00000005102,1
ENSG00000006194,ENSG00000083838,1
ENSG00000083838,ENSG00000006194,1
ENSG00000007372,ENSG00000037965,1
ENSG00000037965,ENSG00000007372,1
ENSG00000007372,ENSG00000105991,1
ENSG00000105991,ENSG00000007372,1
ENSG00000007372,ENSG00000119725,1
ENSG00000119725,ENSG00000007372,1
ENSG00000007372,ENSG00000124827,1
ENSG00000124827,ENSG00000007372,1
ENSG00000007372,ENSG00000196418,1
ENSG00000196418,ENSG00000007372,1
ENSG00000007372,ENSG00000196482,1
ENSG00000196482,ENSG00000007372,1
ENSG00000007372,ENSG00000214717,1
ENSG00000214717,ENSG00000007372,1
ENSG00000011590,ENSG00000011590,1
ENSG00000011590,ENSG00000011590,1
ENSG00000011590,ENSG00000069011,1
ENSG00000069011,ENSG00000011590,1
ENSG00000011590,ENSG00000100105,1
ENSG00000100105,ENSG00000011590,1
ENSG00000011590,ENSG00000108788,1
ENSG00000108788,ENSG00000011590,1
ENSG00000011590,ENSG00000131721,1
ENSG00000131721,ENSG00000011590,1
ENSG00000011590,ENSG00000151650,1
ENSG00000151650,ENSG00000011590,1
ENSG00000011590,ENSG00000164438,1
ENSG00000164438,ENSG00000011590,1
ENSG00000016082,ENSG00000198546,1
ENSG00000198546,ENSG00000016082,1
ENSG00000019549,ENSG00000065029,1
ENSG00000065029,ENSG00000019549,1
ENSG00000028277,ENSG00000120149,1
ENSG00000120149,ENSG00000028277,1
ENSG00000037965,ENSG00000061455,1
ENSG00000061455,ENSG00000037965,1
ENSG00000037965,ENSG00000105717,1
ENSG00000105717,ENSG00000037965,1
ENSG00000037965,ENSG00000106511,1
ENSG00000106511,ENSG00000037965,1
ENSG00000037965,ENSG00000106536,1
ENSG00000106536,ENSG00000037965,1
ENSG00000037965,ENSG00000106689,1
ENSG00000106689,ENSG00000037965,1
ENSG00000037965,ENSG00000107187,1
ENSG00000107187,ENSG00000037965,1
ENSG00000037965,ENSG00000125618,1
ENSG00000125618,ENSG00000037965,1
ENSG00000037965,ENSG00000128652,1
ENSG00000128652,ENSG00000037965,1
ENSG00000037965,ENSG00000143178,1
ENSG00000143178,ENSG00000037965,1
ENSG00000037965,ENSG00000147596,1
ENSG00000147596,ENSG00000037965,1
ENSG00000037965,ENSG00000151650,1
ENSG00000151650,ENSG00000037965,1
ENSG00000037965,ENSG00000161405,1
ENSG00000161405,ENSG00000037965,1
ENSG00000037965,ENSG00000163666,1
ENSG00000163666,ENSG00000037965,1
ENSG00000037965,ENSG00000185630,1
ENSG00000185630,ENSG00000037965,1
ENSG00000037965,ENSG00000186951,1
ENSG00000186951,ENSG00000037965,1
ENSG00000037965,ENSG00000196092,1
ENSG00000196092,ENSG00000037965,1
ENSG00000037965,ENSG00000196378,1
ENSG00000196378,ENSG00000037965,1
ENSG00000037965,ENSG00000204304,1
ENSG00000204304,ENSG00000037965,1
ENSG00000039600,ENSG00000151702,1
ENSG00000151702,ENSG00000039600,1
ENSG00000049768,ENSG00000125740,1
ENSG00000125740,ENSG00000049768,1
ENSG00000061455,ENSG00000061455,1
ENSG00000061455,ENSG00000061455,1
ENSG00000061455,ENSG00000100105,1
ENSG00000100105,ENSG00000061455,1
ENSG00000061455,ENSG00000184492,1
ENSG00000184492,ENSG00000061455,1
ENSG00000063515,ENSG00000124827,1
ENSG00000124827,ENSG00000063515,1
ENSG00000063515,ENSG00000167685,1
ENSG00000167685,ENSG00000063515,1
ENSG00000063515,ENSG00000175329,1
ENSG00000175329,ENSG00000063515,1
ENSG00000063515,ENSG00000198466,1
ENSG00000198466,ENSG00000063515,1
ENSG00000064195,ENSG00000151615,1
ENSG00000151615,ENSG00000064195,1
ENSG00000064218,ENSG00000106511,1
ENSG00000106511,ENSG00000064218,1
ENSG00000064218,ENSG00000109101,1
