TF,target,target_symbol
ENSG00000111704,ENSG00000107984,DKK1
ENSG00000132170,ENSG00000077092,RARB
ENSG00000118513,ENSG00000185591,SP1
ENSG00000078399,ENSG00000115738,ID2
ENSG00000091831,ENSG00000171223,JUNB
ENSG00000141510,ENSG00000153933,DGKE
ENSG00000172819,ENSG00000177606,JUN
ENSG00000123268,ENSG00000140538,NTRK3
ENSG00000101665,ENSG00000108821,COL1A1
ENSG00000197933,ENSG00000169429,CXCL8
ENSG00000100811,ENSG00000073921,PICALM
ENSG00000081189,ENSG00000205560,CPT1B
ENSG00000113580,ENSG00000145113,MUC4
ENSG00000169083,ENSG00000118137,APOA1
ENSG00000168267,ENSG00000170835,CEL
ENSG00000169083,ENSG00000163565,IFI16
ENSG00000185591,ENSG00000100170,SLC5A1
ENSG00000173039,ENSG00000180871,CXCR2
ENSG00000159216,ENSG00000163737,PF4
ENSG00000148737,,
ENSG00000173473,ENSG00000039068,CDH1
ENSG00000101412,ENSG00000147853,AK3
ENSG00000136997,ENSG00000137409,MTCH1
ENSG00000172216,ENSG00000163220,S100A9
ENSG00000133895,ENSG00000130522,JUND
ENSG00000100146,ENSG00000204248,COL11A2
ENSG00000144852,ENSG00000006327,TNFRSF12A
ENSG00000141510,ENSG00000197579,TOPORS
ENSG00000141646,ENSG00000168036,CTNNB1
ENSG00000169083,ENSG00000104368,PLAT
ENSG00000112182,ENSG00000100219,XBP1
ENSG00000124440,ENSG00000116016,EPAS1
ENSG00000091831,ENSG00000126561,STAT5A
ENSG00000115966,ENSG00000206439,TNF
,ENSG00000173801,JUP
ENSG00000185591,ENSG00000133315,MACROD1
,ENSG00000204287,HLA-DRA
ENSG00000253293,ENSG00000115738,ID2
ENSG00000001167,ENSG00000203883,SOX18
,ENSG00000117560,FASLG
ENSG00000104825,ENSG00000171855,IFNB1
ENSG00000095794,ENSG00000114013,CD86
ENSG00000185591,ENSG00000103342,GSPT1
ENSG00000205250,ENSG00000134871,COL4A2
ENSG00000179284,ENSG00000177030,DEAF1
ENSG00000151702,ENSG00000102145,GATA1
ENSG00000122877,ENSG00000128342,LIF
ENSG00000125618,ENSG00000152804,HHEX
ENSG00000173039,ENSG00000100889,PCK2
ENSG00000100644,ENSG00000095066,HOOK2
ENSG00000169083,ENSG00000163041,H3-3A
ENSG00000179284,ENSG00000100479,POLE2
ENSG00000118260,ENSG00000153563,CD8A
ENSG00000205250,,
ENSG00000157554,ENSG00000157343,ARMC12
ENSG00000135363,ENSG00000138795,LEF1
ENSG00000141905,ENSG00000128422,KRT17
ENSG00000168036,ENSG00000110092,CCND1
ENSG00000172216,ENSG00000113302,IL12B
ENSG00000134954,ENSG00000110330,BIRC2
ENSG00000113580,ENSG00000126767,ELK1
ENSG00000055118,ENSG00000160180,TFF3
ENSG00000118260,ENSG00000111012,CYP27B1
ENSG00000136997,ENSG00000111269,CREBL2
ENSG00000173039,ENSG00000168036,CTNNB1
ENSG00000101412,ENSG00000111801,BTN3A3
ENSG00000186951,ENSG00000121769,FABP3
ENSG00000091831,ENSG00000091831,ESR1
ENSG00000253293,ENSG00000104903,LYL1
ENSG00000136997,ENSG00000177000,MTHFR
ENSG00000101412,ENSG00000137801,THBS1
ENSG00000173039,ENSG00000233816,IFNA13
ENSG00000179348,ENSG00000164867,NOS3
ENSG00000136997,ENSG00000078142,PIK3C3
ENSG00000158773,ENSG00000135446,CDK4
ENSG00000111087,ENSG00000129422,MTUS1
ENSG00000066336,ENSG00000163464,CXCR1
ENSG00000185650,ENSG00000112715,VEGFA
ENSG00000205250,ENSG00000160179,ABCG1
ENSG00000132170,ENSG00000179639,FCER1A
ENSG00000118689,ENSG00000291237,SOD2
ENSG00000186470,ENSG00000133818,RRAS2
ENSG00000007372,ENSG00000164434,FABP7
ENSG00000100644,ENSG00000113070,HBEGF
ENSG00000143390,ENSG00000117322,CR2
,ENSG00000039068,CDH1
ENSG00000166949,ENSG00000101665,SMAD7
ENSG00000159216,,
ENSG00000101412,ENSG00000139687,RB1
ENSG00000115415,ENSG00000196365,LONP1
ENSG00000118260,ENSG00000112592,TBP
ENSG00000116044,ENSG00000149124,GLYAT
ENSG00000143437,ENSG00000172315,TP53RK
ENSG00000073282,ENSG00000167880,EVPL
ENSG00000109320,ENSG00000168394,TAP1
ENSG00000133895,ENSG00000111247,RAD51AP1
ENSG00000136997,ENSG00000067225,PKM
ENSG00000101412,ENSG00000156958,GALK2
ENSG00000073861,ENSG00000100811,YY1
ENSG00000196363,ENSG00000136997,MYC
ENSG00000185591,ENSG00000176890,TYMS
ENSG00000141510,ENSG00000111412,SPRING1
ENSG00000172819,ENSG00000100030,MAPK1
,ENSG00000100823,APEX1
ENSG00000177551,ENSG00000114315,HES1
ENSG00000136997,ENSG00000176749,CDK5R1
ENSG00000187098,ENSG00000103249,CLCN7
ENSG00000106462,ENSG00000171862,PTEN
ENSG00000124795,ENSG00000023445,BIRC3
ENSG00000205250,ENSG00000102078,SLC25A14
ENSG00000179284,ENSG00000118260,CREB1
ENSG00000129071,ENSG00000111424,VDR
ENSG00000136997,ENSG00000143384,MCL1
ENSG00000095794,ENSG00000112115,IL17A
ENSG00000198911,ENSG00000160752,FDPS
ENSG00000134954,ENSG00000111537,IFNG
ENSG00000206454,ENSG00000091409,ITGA6
ENSG00000170345,ENSG00000163209,SPRR3
ENSG00000157557,ENSG00000113578,FGF1
ENSG00000143190,,
ENSG00000118495,ENSG00000091262,ABCC6
ENSG00000007968,ENSG00000235194,PPP1R3E
ENSG00000136997,ENSG00000119699,TGFB3
ENSG00000077150,ENSG00000102245,CD40LG
ENSG00000125347,ENSG00000136634,IL10
ENSG00000107485,ENSG00000141376,BCAS3
ENSG00000134954,ENSG00000041982,TNC
ENSG00000109320,ENSG00000107831,FGF8
ENSG00000115966,ENSG00000288505,NANOS3
ENSG00000245848,ENSG00000171105,INSR
ENSG00000101665,ENSG00000168542,COL3A1
ENSG00000150907,ENSG00000100311,PDGFB
ENSG00000091831,ENSG00000221926,TRIM16
ENSG00000129152,ENSG00000076555,ACACB
ENSG00000141027,ENSG00000123689,G0S2
ENSG00000136997,ENSG00000107819,SFXN3
ENSG00000151702,ENSG00000157554,ERG
ENSG00000132170,ENSG00000123384,LRP1
ENSG00000074047,ENSG00000177606,JUN
ENSG00000033800,ENSG00000148795,CYP17A1
ENSG00000115415,ENSG00000185436,IFNLR1
ENSG00000169083,ENSG00000110245,APOC3
ENSG00000168214,ENSG00000183963,SMTN
ENSG00000141510,ENSG00000184371,CSF1
ENSG00000177606,ENSG00000044012,GUCA2B
ENSG00000277494,ENSG00000240972,MIF
ENSG00000179284,ENSG00000242950,ERVW-1
ENSG00000100644,ENSG00000128917,DLL4
ENSG00000179284,ENSG00000080815,PSEN1
ENSG00000074047,ENSG00000054793,ATP9A
ENSG00000185591,ENSG00000187555,USP7
ENSG00000074047,ENSG00000134215,VAV3
ENSG00000102145,ENSG00000276644,DACH1
ENSG00000141510,ENSG00000107796,ACTA2
ENSG00000109320,ENSG00000082641,NFE2L1
ENSG00000020633,ENSG00000196628,TCF4
ENSG00000118260,ENSG00000105723,GSK3A
ENSG00000118513,ENSG00000170515,PA2G4
ENSG00000109320,ENSG00000173083,HPSE
ENSG00000134954,ENSG00000136167,LCP1
ENSG00000100146,ENSG00000186652,PRG2
ENSG00000172216,ENSG00000117525,F3
ENSG00000205250,ENSG00000164109,MAD2L1
ENSG00000115966,ENSG00000124253,PCK1
ENSG00000168214,ENSG00000139352,ASCL1
ENSG00000136997,ENSG00000136628,EPRS1
ENSG00000118217,ENSG00000131910,NR0B2
,ENSG00000011201,ANOS1
ENSG00000073861,ENSG00000111537,IFNG
ENSG00000173039,ENSG00000183696,UPP1
ENSG00000117139,ENSG00000163435,ELF3
ENSG00000109320,ENSG00000198648,STK39
ENSG00000179284,ENSG00000107485,GATA3
ENSG00000213928,ENSG00000197272,IL27
ENSG00000157554,ENSG00000143379,SETDB1
ENSG00000125952,ENSG00000136997,MYC
ENSG00000172845,ENSG00000157557,ETS2
ENSG00000120690,ENSG00000109320,NFKB1
ENSG00000033800,ENSG00000090402,SI
,ENSG00000102854,MSLN
ENSG00000167074,ENSG00000092054,MYH7
ENSG00000007968,ENSG00000142731,PLK4
ENSG00000118513,ENSG00000100867,DHRS2
ENSG00000185591,ENSG00000015285,WAS
ENSG00000150907,ENSG00000100889,PCK2
ENSG00000173039,ENSG00000134339,SAA2
ENSG00000155090,ENSG00000095303,PTGS1
ENSG00000245848,ENSG00000026103,FAS
ENSG00000136997,ENSG00000047597,XK
ENSG00000143799,ENSG00000256061,DNAAF4
ENSG00000162599,ENSG00000163631,ALB
ENSG00000205250,ENSG00000137154,RPS6
ENSG00000178764,ENSG00000145386,CCNA2
ENSG00000101412,ENSG00000006062,MAP3K14
ENSG00000132170,ENSG00000107798,LIPA
ENSG00000172819,ENSG00000088247,KHSRP
ENSG00000179284,ENSG00000170965,PLAC1
ENSG00000131196,ENSG00000111537,IFNG
ENSG00000101412,ENSG00000078900,TP73
ENSG00000116560,ENSG00000180176,TH
ENSG00000179284,ENSG00000086062,B4GALT1
ENSG00000173039,ENSG00000112149,CD83
ENSG00000125347,ENSG00000101412,E2F1
ENSG00000100811,ENSG00000167633,KIR3DL1
ENSG00000130522,ENSG00000118513,MYB
ENSG00000172845,ENSG00000172201,ID4
ENSG00000001167,ENSG00000160200,CBS
ENSG00000101412,ENSG00000006210,CX3CL1
ENSG00000135100,ENSG00000084674,APOB
ENSG00000158773,ENSG00000095319,NUP188
ENSG00000105516,ENSG00000160868,CYP3A4
ENSG00000141510,ENSG00000205339,IPO7
ENSG00000134954,ENSG00000127951,FGL2
ENSG00000101412,ENSG00000136997,MYC
ENSG00000170345,ENSG00000011422,PLAUR
ENSG00000141644,ENSG00000167244,IGF2
ENSG00000179284,ENSG00000125898,FAM110A
ENSG00000101412,ENSG00000179097,HTR1F
ENSG00000104447,ENSG00000124813,RUNX2
ENSG00000172845,ENSG00000079435,LIPE
ENSG00000169083,ENSG00000062725,APPBP2
ENSG00000186350,ENSG00000178726,THBD
ENSG00000096401,ENSG00000171566,PLRG1
,ENSG00000213614,HEXA
ENSG00000123358,ENSG00000114125,RNF7
ENSG00000169083,ENSG00000177606,JUN
ENSG00000158773,ENSG00000102245,CD40LG
ENSG00000158773,ENSG00000111679,PTPN6
ENSG00000158773,ENSG00000158470,B4GALT5
ENSG00000196233,ENSG00000124762,CDKN1A
ENSG00000134954,ENSG00000167286,CD3D
ENSG00000134323,ENSG00000204632,HLA-G
ENSG00000077092,ENSG00000178726,THBD
ENSG00000134954,ENSG00000105246,EBI3
ENSG00000123268,ENSG00000153563,CD8A
,ENSG00000111276,CDKN1B
ENSG00000115641,ENSG00000173039,RELA
ENSG00000198911,ENSG00000113161,HMGCR
ENSG00000166949,ENSG00000087494,PTHLH
ENSG00000109685,ENSG00000169083,AR
ENSG00000186951,ENSG00000171564,FGB
ENSG00000105698,ENSG00000169083,AR
ENSG00000105991,ENSG00000136997,MYC
ENSG00000169083,ENSG00000205560,CPT1B
ENSG00000144852,ENSG00000110880,CORO1C
ENSG00000180818,ENSG00000120068,HOXB8
ENSG00000144852,ENSG00000136634,IL10
ENSG00000152284,ENSG00000117322,CR2
ENSG00000177606,ENSG00000110719,TCIRG1
ENSG00000164442,ENSG00000196611,MMP1
ENSG00000161298,ENSG00000187098,MITF
ENSG00000185591,ENSG00000070501,POLB
ENSG00000066336,ENSG00000133315,MACROD1
ENSG00000148737,ENSG00000085563,ABCB1
ENSG00000120738,ENSG00000170917,NUDT6
ENSG00000168214,ENSG00000179431,FJX1
ENSG00000100644,ENSG00000168610,STAT3
ENSG00000125347,ENSG00000049768,FOXP3
ENSG00000116044,ENSG00000001626,CFTR
ENSG00000181449,ENSG00000125378,BMP4
ENSG00000204371,,
ENSG00000183072,ENSG00000089225,TBX5
ENSG00000126561,ENSG00000137193,PIM1
ENSG00000120738,ENSG00000175592,FOSL1
ENSG00000126767,ENSG00000124813,RUNX2
ENSG00000101412,ENSG00000161850,KRT82
ENSG00000136997,,
ENSG00000057935,ENSG00000171940,ZNF217
ENSG00000122691,ENSG00000175592,FOSL1
ENSG00000177606,ENSG00000001084,GCLC
ENSG00000206454,ENSG00000164458,TBXT
ENSG00000101412,ENSG00000108961,RANGRF
ENSG00000169083,ENSG00000166311,SMPD1
ENSG00000109320,ENSG00000169429,CXCL8
ENSG00000126767,ENSG00000065534,MYLK
ENSG00000067082,ENSG00000164611,PTTG1
ENSG00000105698,ENSG00000139618,BRCA2
ENSG00000007968,ENSG00000102921,N4BP1
,ENSG00000081051,AFP
ENSG00000169083,ENSG00000114554,PLXNA1
ENSG00000141510,ENSG00000103222,ABCC1
ENSG00000028277,ENSG00000109471,IL2
ENSG00000101412,ENSG00000005339,CREBBP
ENSG00000065978,ENSG00000145604,SKP2
ENSG00000177606,ENSG00000203782,LORICRIN
