 PF10417	PF10417
 PF10417	PF00578
 PF10417	PF02195
 PF10417	PF00085
 PF12574	PF12574
 PF00244	PF00244
 PF00244	PF00583
 PF00244	PF03496
 PF00244	PF00130
 PF00244	PF00525
 PF00244	PF00011
 PF00244	PF01161
 PF00244	PF07714
 PF00244	PF01204
 PF00389	PF00389
 PF00389	PF02826
 PF00389	PF01842
 PF00389	PF11890
 PF00389	PF19304
 PF02826	PF02826
 PF02826	PF02222
 PF02826	PF17769
 PF00198	PF00198
 PF00198	PF00364
 PF00198	PF00676
 PF04029	PF04029
 PF04463	PF04463
 PF05635	PF05635
 PF01257	PF01257
 PF01257	PF01512
 PF01257	PF13459
 PF01257	PF00384
 PF01257	PF10589
 PF01257	PF11497
 PF01257	PF15880
 PF01257	PF04800
 PF01257	PF10531
 PF03390	PF03390
 PF03171	PF03171
 PF03171	PF14226
 PF13532	PF13532
 PF13532	PF00076
 PF13640	PF13640
 PF13640	PF13499
 PF13640	PF00009
 PF13640	PF11413
 PF13640	PF18331
 PF13661	PF10637
 PF13759	PF13759
 PF10014	PF10014
 PF13563	PF13563
 PF03475	PF03475
 PF03475	PF03473
 PF06983	PF06983
 PF06052	PF06052
 PF01073	PF01073
 PF06725	PF06725
 PF06725	PF03562
 PF02829	PF08279
 PF00725	PF00725
 PF00725	PF02737
 PF00725	PF18321
 PF00725	PF00378
 PF02737	PF02737
 PF02737	PF00378
 PF02737	PF00108
 PF06439	PF06439
 PF16121	PF00467
 PF16121	PF00163
 PF16121	PF00900
 PF16121	PF01479
 PF16122	PF00833
 PF16122	PF00318
 PF04419	PF12907
 PF17947	PF00005
 PF03061	PF03061
 PF03061	PF13279
 PF13279	PF13279
 PF13622	PF13622
 PF12729	PF12729
 PF04476	PF04476
 PF18671	PF02901
 PF17837	PF01648
 PF17837	PF00550
 PF17837	PF01547
 PF01812	PF01812
 PF09038	PF09038
 PF09038	PF00293
 PF09038	PF00240
 PF01367	PF01367
 PF01367	PF02739
 PF01367	PF00476
 PF02739	PF02739
 PF02739	PF00476
 PF02739	PF09293
 PF05761	PF05761
 PF02872	PF02872
 PF02872	PF00149
 PF02872	PF13501
 PF02096	PF02355
 PF02096	PF03840
 PF02096	PF00344
 PF02096	PF14849
 PF01591	PF01591
 PF01591	PF00300
 PF00393	PF00393
 PF00393	PF03446
 PF02294	PF02294
 PF02294	PF00759
 PF02294	PF00061
 PF02294	PF00062
 PF02294	PF00071
 PF02294	PF00018
 PF07696	PF07696
 PF00001	PF00001
 PF00001	PF00976
 PF00001	PF02752
 PF00001	PF00339
 PF00001	PF07361
 PF00001	PF00322
 PF00001	PF00503
 PF00001	PF00534
 PF00001	PF00516
 PF00001	PF00048
 PF00001	PF04644
 PF00001	PF00959
 PF00001	PF00069
 PF00001	PF10413
 PF00001	PF02202
 PF00001	PF00085
 PF00001	PF07686
 PF00001	PF00400
 PF00002	PF00002
 PF00002	PF00214
 PF00002	PF00473
 PF00002	PF07361
 PF00002	PF00503
 PF00002	PF00534
 PF00002	PF00123
 PF00002	PF02793
 PF00002	PF01279
 PF00002	PF00959
 PF00002	PF04901
 PF00002	PF00301
 PF00002	PF14980
 PF00002	PF07686
 PF00002	PF00400
 PF00003	PF00003
 PF00003	PF07361
 PF00003	PF00503
 PF00003	PF07562
 PF00003	PF00959
 PF02949	PF02949
 PF07966	PF00026
 PF00207	PF07703
 PF00207	PF07677
 PF00207	PF17973
 PF00207	PF17972
 PF00207	PF11546
 PF00207	PF01835
 PF00207	PF17791
 PF00207	PF00084
 PF00207	PF07686
 PF07703	PF07703
 PF07703	PF11974
 PF07703	PF17972
 PF07703	PF17962
 PF07703	PF11546
 PF07703	PF00057
 PF07703	PF17790
 PF07703	PF01835
 PF07703	PF17791
 PF07703	PF17789
 PF07703	PF02876
 PF07703	PF00084
 PF07703	PF15430
 PF07703	PF07686
 PF07677	PF07677
 PF07677	PF01821
 PF07677	PF11546
 PF07677	PF17791
 PF07677	PF01759
 PF07677	PF07678
 PF07677	PF00089
 PF03443	PF03443
 PF00004	PF00004
 PF00004	PF13191
 PF00004	PF07724
 PF00004	PF13401
 PF00004	PF16193
 PF00004	PF17872
 PF00004	PF17862
 PF00004	PF17866
 PF00004	PF17871
 PF00004	PF18138
 PF00004	PF08740
 PF00004	PF02933
 PF00004	PF02359
 PF00004	PF09079
 PF00004	PF10431
 PF00004	PF02861
 PF00004	PF13177
 PF00004	PF02916
 PF00004	PF09116
 PF00004	PF02301
 PF00004	PF05362
 PF00004	PF05021
 PF00004	PF04084
 PF00004	PF14629
 PF00004	PF18137
 PF00004	PF06581
 PF00004	PF02747
 PF00004	PF00705
 PF00004	PF01434
 PF00004	PF16790
 PF00004	PF00227
 PF00004	PF10584
 PF00004	PF16450
 PF00004	PF08542
 PF00004	PF08519
 PF00004	PF10602
 PF00004	PF02788
 PF00004	PF00101
 PF00004	PF06068
 PF00004	PF00240
 PF00004	PF09336
 PF00004	PF05020
 PF13086	PF13086
 PF13086	PF13087
 PF13086	PF16399
 PF13086	PF08696
 PF13086	PF18141
 PF13087	PF13087
 PF13087	PF13604
 PF13087	PF16399
 PF13087	PF04851
 PF13087	PF18141
