source,target,coverage
ENSG00000164916,ENSG00000164916,1
ENSG00000164916,ENSG00000141568,1
ENSG00000141568,ENSG00000164916,1
ENSG00000141568,ENSG00000141568,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000163939,ENSG00000163939,1
ENSG00000105856,ENSG00000105856,1
ENSG00000170365,ENSG00000170365,1
ENSG00000170365,ENSG00000175387,1
ENSG00000170365,ENSG00000166949,1
ENSG00000170365,ENSG00000166949,1
ENSG00000170365,ENSG00000141646,1
ENSG00000170365,ENSG00000113658,1
ENSG00000170365,ENSG00000137834,1
ENSG00000170365,ENSG00000101665,1
ENSG00000175387,ENSG00000170365,1
ENSG00000175387,ENSG00000175387,1
ENSG00000175387,ENSG00000166949,1
ENSG00000175387,ENSG00000166949,1
ENSG00000175387,ENSG00000141646,1
ENSG00000175387,ENSG00000113658,1
ENSG00000175387,ENSG00000137834,1
ENSG00000175387,ENSG00000101665,1
ENSG00000166949,ENSG00000170365,1
ENSG00000166949,ENSG00000175387,1
ENSG00000166949,ENSG00000166949,1
ENSG00000166949,ENSG00000166949,1
ENSG00000166949,ENSG00000141646,1
ENSG00000166949,ENSG00000113658,1
ENSG00000166949,ENSG00000137834,1
ENSG00000166949,ENSG00000101665,1
ENSG00000166949,ENSG00000170365,1
ENSG00000166949,ENSG00000175387,1
ENSG00000166949,ENSG00000166949,1
ENSG00000166949,ENSG00000166949,1
ENSG00000166949,ENSG00000141646,1
ENSG00000166949,ENSG00000113658,1
ENSG00000166949,ENSG00000137834,1
ENSG00000166949,ENSG00000101665,1
ENSG00000141646,ENSG00000170365,1
ENSG00000141646,ENSG00000175387,1
ENSG00000141646,ENSG00000166949,1
ENSG00000141646,ENSG00000166949,1
ENSG00000141646,ENSG00000141646,1
ENSG00000141646,ENSG00000113658,1
ENSG00000141646,ENSG00000137834,1
ENSG00000141646,ENSG00000101665,1
ENSG00000113658,ENSG00000170365,1
ENSG00000113658,ENSG00000175387,1
ENSG00000113658,ENSG00000166949,1
ENSG00000113658,ENSG00000166949,1
ENSG00000113658,ENSG00000141646,1
ENSG00000113658,ENSG00000113658,1
ENSG00000113658,ENSG00000137834,1
ENSG00000113658,ENSG00000101665,1
ENSG00000137834,ENSG00000170365,1
ENSG00000137834,ENSG00000175387,1
ENSG00000137834,ENSG00000166949,1
ENSG00000137834,ENSG00000166949,1
ENSG00000137834,ENSG00000141646,1
ENSG00000137834,ENSG00000113658,1
ENSG00000137834,ENSG00000137834,1
ENSG00000137834,ENSG00000101665,1
ENSG00000101665,ENSG00000170365,1
ENSG00000101665,ENSG00000175387,1
ENSG00000101665,ENSG00000166949,1
ENSG00000101665,ENSG00000166949,1
ENSG00000101665,ENSG00000141646,1
ENSG00000101665,ENSG00000113658,1
ENSG00000101665,ENSG00000137834,1
ENSG00000101665,ENSG00000101665,1
ENSG00000126456,ENSG00000126456,1
ENSG00000126456,ENSG00000137265,1
ENSG00000126456,ENSG00000128604,1
ENSG00000126456,ENSG00000117595,1
ENSG00000126456,ENSG00000185507,1
ENSG00000126456,ENSG00000140968,1
ENSG00000126456,ENSG00000213928,1
